Year,Congress,Session,Vote_Number,Yeas,Nays,Question
1990,101,2,1,62,37,On Overriding the Veto H.R. 2712
1990,101,2,2,98,0,On Passage of the Bill H.R. 3792
1990,101,2,3,95,2,On the Amendment S.Amdt. 1219 to S. 1630 (Clean Air Act Amendments of 1990 Clean Air Employment Transition Act)
1990,101,2,4,99,0,On Passage of the Bill S. 1310
1990,101,2,5,100,0,On Passage of the Bill S. 169
1990,101,2,6,35,64,On the Amendment S.Amdt. 1236 to S. 695 (Equity and Excellence in Education Act of 1990)
1990,101,2,7,60,37,On the Motion to Table S.Amdt. 1241 to S.Amdt. 1239 to S. 695 (Equity and Excellence in Education Act of 1990)
1990,101,2,8,40,57,On the Amendment S.Amdt. 1239 to S. 695 (Equity and Excellence in Education Act of 1990)
1990,101,2,9,51,49,On the Motion to Table S.Amdt. 1245 to S. 695 (Equity and Excellence in Education Act of 1990)
1990,101,2,10,92,8,On Passage of the Bill S. 695
1990,101,2,11,96,0,On the Amendment S.Amdt. 1250 to S. 419 (Hate Crime Statistics Act)
1990,101,2,12,19,77,On the Amendment S.Amdt. 1251 to S. 419 (Hate Crime Statistics Act)
1990,101,2,13,92,4,On Passage of the Bill H.R. 1048
1990,101,2,14,94,0,On the Resolution of Ratification Treaty Doc. 101-2
1990,101,2,15,94,0,On Passage of the Bill H.R. 2281
1990,101,2,16,49,49,On the Cloture Motion S.J.Res. 212
1990,101,2,17,48,51,On the Cloture Motion S.J.Res. 212
1990,101,2,18,91,3,On the Amendment S.Amdt. 1262 to S. 1430 (National Older American Volunteer Programs Expansion Act of 1989)
1990,101,2,19,54,41,On the Motion to Table S.Amdt. 1267 to S. 1430 (National Older American Volunteer Programs Expansion Act of 1989)
1990,101,2,20,65,32,On the Motion to Table S.Amdt. 1269 to S. 1430 (National Older American Volunteer Programs Expansion Act of 1989)
1990,101,2,21,79,19,On the Amendment S.Amdt. 1274 to S. 1430 (National Older American Volunteer Programs Expansion Act of 1989)
1990,101,2,22,48,50,On the Amendment S.Amdt. 1270 to S. 1430 (National Older American Volunteer Programs Expansion Act of 1989)
1990,101,2,23,47,50,On the Motion to Table S.Amdt. 1282 to S.Amdt. 1279 to S. 1430 (National Older American Volunteer Programs Expansion Act of 1989)
