Vote_Number,Yeas,Nays,Question
1,31,66,On the Amendment S.Amdt. 1 to H.R. 26 (Terrorism Risk Insurance Program Reauthorization Act of 2015)
2,93,4,On Passage of the Bill H.R. 26
3,63,32,On Cloture on the Motion to Proceed S. 1
4,57,42,On the Motion to Table S.Amdt. 13 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
5,53,46,On the Motion to Table S.Amdt. 17 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
6,94,5,On the Amendment S.Amdt. 3 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
7,54,45,On the Amendment S.Amdt. 33 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
8,41,58,On the Amendment S.Amdt. 69 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
9,54,45,On the Amendment S.Amdt. 41 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
10,98,1,On the Amendment S.Amdt. 29 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
11,59,40,On the Amendment S.Amdt. 87 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
12,50,49,On the Amendment S.Amdt. 58 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
13,55,44,On the Amendment S.Amdt. 113 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
14,54,45,On the Amendment S.Amdt. 18 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
15,53,46,On the Motion to Table S.Amdt. 99 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
16,56,42,On the Motion to Table S.Amdt. 24 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
17,51,47,On the Amendment S.Amdt. 71 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
18,75,23,On the Amendment S.Amdt. 123 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
19,50,47,On the Amendment S.Amdt. 27 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
20,51,46,On the Amendment S.Amdt. 78 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
21,64,33,On the Amendment S.Amdt. 126 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
22,43,54,On the Amendment S.Amdt. 72 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
23,89,5,On the Motion for Attendance S. 1
24,53,42,On the Motion to Table S.Amdt. 25 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
25,57,38,On the Motion to Table S.Amdt. 121 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
26,52,43,On the Motion to Table S.Amdt. 28 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
27,53,41,On the Motion to Table S.Amdt. 30 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
28,49,45,On the Motion to Table S.Amdt. 74 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
29,53,39,On the Cloture Motion S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
30,53,39,On the Cloture Motion S. 1
31,36,62,On the Amendment S.Amdt. 75 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
32,40,58,On the Amendment S.Amdt. 70 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
33,40,58,On the Amendment S.Amdt. 23 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
34,53,45,On the Amendment S.Amdt. 15 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
35,54,44,On the Amendment S.Amdt. 73 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
36,44,52,On the Amendment S.Amdt. 148 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)
