Member,First,Last,State,Party,Nay,Yea,Not Voting,Present,Total
Alexander (R-TN),Lamar,Alexander,TN,R,33.08,63.12,3.8,0.0,263
Ayotte (R-NH),Kelly,Ayotte,NH,R,27.0,72.62,0.38,0.0,263
Baldwin (D-WI),Tammy,Baldwin,WI,D,41.44,58.56,0.0,0.0,263
Barrasso (R-WY),John,Barrasso,WY,R,34.6,65.4,0.0,0.0,263
Bennet (D-CO),Michael,Bennet,CO,D,34.6,65.4,0.0,0.0,263
Blumenthal (D-CT),Richard,Blumenthal,CT,D,40.68,58.94,0.38,0.0,263
Blunt (R-MO),Roy,Blunt,MO,R,35.36,60.84,3.8,0.0,263
Booker (D-NJ),Cory,Booker,NJ,D,41.83,57.03,1.14,0.0,263
Boozman (R-AR),John,Boozman,AR,R,34.22,64.64,1.14,0.0,263
Boxer (D-CA),Barbara,Boxer,CA,D,36.12,54.37,9.51,0.0,263
Brown (D-OH),Sherrod ,Brown,OH,D,42.21,56.27,1.52,0.0,263
Burr (R-NC),Richard,Burr,NC,R,33.08,66.54,0.38,0.0,263
Cantwell (D-WA),Maria,Cantwell,WA,D,37.64,62.36,0.0,0.0,263
Capito (R-WV),Shelley,Capito,WV,R,32.32,66.92,0.76,0.0,263
Cardin (D-MD),Ben,Cardin,MD,D,41.06,58.94,0.0,0.0,263
Carper (D-DE),Thomas,Carper,DE,D,38.02,60.84,1.14,0.0,263
Casey (D-PA),Bob,Casey,PA,D,39.16,60.46,0.38,0.0,263
Cassidy (R-LA),Bill,Cassidy,LA,R,33.08,65.4,1.52,0.0,263
Coats (R-IN),Dan,Coats,IN,R,36.12,62.36,1.52,0.0,263
Cochran (R-MS),Thad,Cochran,MS,R,34.98,64.26,0.76,0.0,263
Collins (R-ME),Susan,Collins,ME,R,29.66,70.34,0.0,0.0,263
Coons (D-DE),Christopher,Coons,DE,D,34.6,60.84,4.56,0.0,263
Corker (R-TN),Bob,Corker,TN,R,32.7,63.88,3.42,0.0,263
Cornyn (R-TX),John,Cornyn,TX,R,33.84,65.78,0.38,0.0,263
Cotton (R-AR),Tom,Cotton,AR,R,39.16,60.08,0.76,0.0,263
Crapo (R-ID),Mike,Crapo,ID,R,38.02,60.46,1.52,0.0,263
Cruz (R-TX),Ted,Cruz,TX,R,34.22,42.97,22.81,0.0,263
