Member,First,Last,State,Party,Yea,Not Voting,Nay,Present,Total
Alexander (R-TN),Lamar,Alexander,TN,R,79.89,3.91,16.2,0.0,179
Baldwin (D-WI),Tammy,Baldwin,WI,D,39.11,0.0,60.34,0.56,179
Barrasso (R-WY),John,Barrasso,WY,R,83.8,0.56,15.64,0.0,179
Bennet (D-CO),Michael,Bennet,CO,D,48.6,0.56,50.28,0.56,179
Blumenthal (D-CT),Richard,Blumenthal,CT,D,33.52,0.56,65.36,0.56,179
Blunt (R-MO),Roy,Blunt,MO,R,84.36,1.12,14.53,0.0,179
Booker (D-NJ),Cory,Booker,NJ,D,25.14,0.56,73.74,0.56,179
Boozman (R-AR),John,Boozman,AR,R,84.92,0.0,15.08,0.0,179
Brown (D-OH),Sherrod ,Brown,OH,D,41.34,0.0,58.1,0.56,179
Burr (R-NC),Richard,Burr,NC,R,84.36,0.56,15.08,0.0,179
Cantwell (D-WA),Maria,Cantwell,WA,D,39.66,1.12,58.66,0.56,179
Capito (R-WV),Shelley,Capito,WV,R,83.24,1.68,15.08,0.0,179
Cardin (D-MD),Ben,Cardin,MD,D,41.9,0.0,57.54,0.56,179
Carper (D-DE),Thomas,Carper,DE,D,44.69,2.79,51.96,0.56,179
Casey (D-PA),Bob,Casey,PA,D,41.9,0.0,57.54,0.56,179
Cassidy (R-LA),Bill,Cassidy,LA,R,84.92,0.56,14.53,0.0,179
Cochran (R-MS),Thad,Cochran,MS,R,84.36,0.0,15.64,0.0,179
Collins (R-ME),Susan,Collins,ME,R,83.24,0.0,16.76,0.0,179
Coons (D-DE),Christopher,Coons,DE,D,43.58,5.59,50.28,0.56,179
Corker (R-TN),Bob,Corker,TN,R,81.01,1.12,17.88,0.0,179
Cornyn (R-TX),John,Cornyn,TX,R,84.36,0.0,15.64,0.0,179
Cortez Masto (D-NV),Catherine,Cortez Masto,NV,D,43.58,0.0,55.87,0.56,179
Cotton (R-AR),Tom,Cotton,AR,R,83.8,0.0,16.2,0.0,179
Crapo (R-ID),Mike,Crapo,ID,R,84.92,0.0,15.08,0.0,179
Cruz (R-TX),Ted,Cruz,TX,R,83.24,2.23,14.53,0.0,179
Daines (R-MT),Steve,Daines,MT,R,84.92,0.0,15.08,0.0,179
