Member,First,Last,Yea,Nay,Not Voting,Present,Total
Alexander (R-TN),Lamar,Alexander,82.53,13.25,4.22,0.0,166
Baldwin (D-WI),Tammy,Baldwin,39.16,60.84,0.0,0.0,166
Barrasso (R-WY),John,Barrasso,86.14,13.25,0.6,0.0,166
Bennet (D-CO),Michael,Bennet,49.4,50.0,0.6,0.0,166
Blumenthal (D-CT),Richard,Blumenthal,33.13,66.27,0.6,0.0,166
Blunt (R-MO),Roy,Blunt,86.75,12.05,1.2,0.0,166
Booker (D-NJ),Cory,Booker,24.1,75.3,0.6,0.0,166
Boozman (R-AR),John,Boozman,87.35,12.65,0.0,0.0,166
Brown (D-OH),Sherrod ,Brown,41.57,58.43,0.0,0.0,166
Burr (R-NC),Richard,Burr,86.75,12.65,0.6,0.0,166
Cantwell (D-WA),Maria,Cantwell,39.76,59.04,1.2,0.0,166
Capito (R-WV),Shelley,Capito,85.54,12.65,1.81,0.0,166
Cardin (D-MD),Ben,Cardin,42.17,57.83,0.0,0.0,166
Carper (D-DE),Thomas,Carper,45.18,51.81,3.01,0.0,166
Casey (D-PA),Bob,Casey,42.17,57.83,0.0,0.0,166
Cassidy (R-LA),Bill,Cassidy,86.75,12.65,0.6,0.0,166
Cochran (R-MS),Thad,Cochran,86.75,13.25,0.0,0.0,166
Collins (R-ME),Susan,Collins,87.95,12.05,0.0,0.0,166
Coons (D-DE),Christopher,Coons,43.98,50.0,6.02,0.0,166
Corker (R-TN),Bob,Corker,84.34,14.46,1.2,0.0,166
Cornyn (R-TX),John,Cornyn,86.75,13.25,0.0,0.0,166
Cortez Masto (D-NV),Catherine,Cortez Masto,43.37,56.63,0.0,0.0,166
Cotton (R-AR),Tom,Cotton,86.75,13.25,0.0,0.0,166
Crapo (R-ID),Mike,Crapo,87.35,12.65,0.0,0.0,166
Cruz (R-TX),Ted,Cruz,85.54,12.05,2.41,0.0,166
Daines (R-MT),Steve,Daines,87.35,12.65,0.0,0.0,166
Donnelly (D-IN),Joe,Donnelly,57.83,40.36,1.81,0.0,166
Duckworth (D-IL),Tammy,Duckworth,37.35,61.45,1.2,0.0,166
Durbin (D-IL),Richard,Durbin,39.16,56.02,4.82,0.0,166
Enzi (R-WY),Mike,Enzi,86.75,13.25,0.0,0.0,166
Ernst (R-IA),Joni,Ernst,85.54,13.86,0.6,0.0,166
Feinstein (D-CA),Dianne,Feinstein,35.54,50.0,14.46,0.0,166
Fischer (R-NE),Deb,Fischer,86.75,13.25,0.0,0.0,166
Flake (R-AZ),Jeff,Flake,82.53,12.05,5.42,0.0,166
Franken (D-MN),Al,Franken,40.96,59.04,0.0,0.0,166
Gardner (R-CO),Cory,Gardner,86.75,13.25,0.0,0.0,166
Gillibrand (D-NY),Kirsten,Gillibrand,22.29,77.71,0.0,0.0,166
Graham (R-SC),Lindsey,Graham,83.73,13.25,3.01,0.0,166
Grassley (R-IA),Charles,Grassley,86.14,13.86,0.0,0.0,166
Harris (D-CA),Kamala,Harris,27.11,72.29,0.6,0.0,166
Hassan (D-NH),Maggie,Hassan,43.37,56.63,0.0,0.0,166
Hatch (R-UT),Orrin,Hatch,86.14,13.86,0.0,0.0,166
Heinrich (D-NM),Martin,Heinrich,38.55,60.84,0.6,0.0,166
Heitkamp (D-ND),Heidi,Heitkamp,66.87,33.13,0.0,0.0,166
Heller (R-NV),Dean,Heller,88.55,10.24,1.2,0.0,166
Hirono (D-HI),Mazie,Hirono,37.95,59.04,3.01,0.0,166
Hoeven (R-ND),John,Hoeven,87.35,12.65,0.0,0.0,166
Inhofe (R-OK),Jim,Inhofe,86.75,12.65,0.6,0.0,166
Isakson (R-GA),John,Isakson,59.04,13.25,27.71,0.0,166
Johnson (R-WI),Ron,Johnson,87.35,12.65,0.0,0.0,166
Kaine (D-VA),Timothy,Kaine,46.39,51.81,1.81,0.0,166
Kennedy (R-LA),John,Kennedy,87.35,12.65,0.0,0.0,166
King (I-ME),Angus,King,62.05,37.95,0.0,0.0,166
Klobuchar (D-MN),Amy,Klobuchar,43.98,56.02,0.0,0.0,166
Lankford (R-OK),James,Lankford,87.95,12.05,0.0,0.0,166
Leahy (D-VT),Patrick,Leahy,40.36,57.83,1.81,0.0,166
Lee (R-UT),Mike,Lee,85.54,13.86,0.6,0.0,166
Manchin (D-WV),Joe,Manchin,67.47,32.53,0.0,0.0,166
Markey (D-MA),Edward,Markey,32.53,66.87,0.6,0.0,166
McCain (R-AZ),John,McCain,79.52,15.06,5.42,0.0,166
McCaskill (D-MO),Claire,McCaskill,50.6,46.99,2.41,0.0,166
McConnell (R-KY),Mitch,McConnell,85.54,13.86,0.0,0.6,166
Menendez (D-NJ),Robert,Menendez,41.57,57.23,1.2,0.0,166
Merkley (D-OR),Jeff,Merkley,30.72,68.67,0.6,0.0,166
Moran (R-KS),Jerry,Moran,84.94,12.05,3.01,0.0,166
Murkowski (R-AK),Lisa,Murkowski,80.72,14.46,4.82,0.0,166
Murphy (D-CT),Christopher,Murphy,40.96,57.83,1.2,0.0,166
